,tract,entropy_index_9,entropy_index_0,entropy_index_1,inc_9,rent_9,inc_0,rent_0,inc_1,rent_1,r_units_9,r_units_0,r_units_1,ratio_rent_inc_9,ratio_rent_inc_0,ratio_rent_inc_1,entropy_9_0,rent_9_0,inc_9_0,rent_units_9_0,rent_burden_9_0,entropy_0_1,rent_0_1,inc_0_1,rent_units_0_1,rent_burden_0_1,rich_9,rich_0,rich_1,rich_all
0,36005000200,0.8671485034902253,0.8579713801212125,0.921479269037815,38711,742,50817,730,58368,1273,384,421,635,0.23001214125184055,0.1723832575712852,0.26171875,-0.010583104660937925,-0.016172506738544423,0.3127276484720105,0.09635416666666674,-0.250547137933286,0.07402098763204679,0.7438356164383562,0.1485920066119606,0.508313539192399,0.5182376391267123,2.0,2.0,2.0,2.0
1,36005000400,0.9198194163529771,0.9232992955766085,0.9432084356950333,40484,535,41019,643,73148,1330,214,486,615,0.15858116786878768,0.1881079499744021,0.2181877836714606,0.003783220012281152,0.20186915887850465,0.013215097322399005,1.2710280373831777,0.18619349638063776,0.021563040515471643,1.068429237947123,0.7832711670201613,0.26543209876543217,0.15990729632188216,2.0,3.0,2.0,2.0
2,36005001600,0.9080631755111424,0.9258753308455544,0.8627419352601068,24732,466,30104,558,33555,823,1462,1517,1617,0.22610383309073265,0.22242891310124902,0.29432275368797495,0.01961554637912255,0.19742489270386265,0.21720847485039618,0.037619699042407584,-0.01625324055434718,-0.0681877931965107,0.47491039426523307,0.11463592878022855,0.06591957811470017,0.3232216512877535,4.0,4.0,4.0,4.0
3,36005001900,0.652853327264585,0.8301582997147791,0.6724147391373728,24823,422,23671,461,25489,870,357,336,505,0.20400435080369012,0.2337036880571163,0.40958844991957316,0.2715846960497099,0.09241706161137442,-0.04640857269467835,-0.05882352941176472,0.1455818816433252,-0.19001624224151326,0.8872017353579176,0.07680283891681805,0.5029761904761905,0.7525972881500753,4.0,4.0,4.0,4.0
4,36005002000,0.8147742309025565,0.7797217223623213,0.8040944252107021,18762,298,19694,266,30817,455,2570,2601,2618,0.19059801726894787,0.16207982126536,0.17717493591199662,-0.0430211305301178,-0.10738255033557043,0.049674874746828745,0.012062256809338479,-0.149624830374529,0.03125820680554958,0.7105263157894737,0.5647913069970549,0.006535947712418277,0.0931338307803451,4.0,4.0,4.0,4.0
5,36005002300,0.7213697714377028,0.7438981315335853,0.6939366254925831,15189,186,20217,229,20342,359,1758,1646,1763,0.14694844953584832,0.1359252114557056,0.21177858617638384,0.03122997523306692,0.23118279569892475,0.33102903416946483,-0.06370875995449377,-0.0750143204297884,-0.06716175766970134,0.5676855895196506,0.006182915368254438,0.07108140947752117,0.5580522841076971,4.0,4.0,4.0,4.0
6,36005002500,0.5837729221506854,0.6632702384470605,0.5849948223665444,9807,276,15662,340,17048,570,1674,1675,1780,0.33771795656163967,0.2605031285914953,0.4012200844673862,0.1361784921498208,0.2318840579710144,0.5970225349240339,0.0005973715651135247,-0.2286370223137698,-0.11801436510069441,0.6764705882352942,0.08849444515387561,0.0626865671641792,0.5401737654235792,4.0,4.0,4.0,4.0
7,36005002701,0.6502173350398891,0.6857051075162497,0.605088925678968,10109,192,13077,264,25269,539,904,986,1039,0.22791571866653476,0.24225739848589126,0.2559658079069215,0.0545783241447777,0.375,0.2935997625877931,0.09070796460176989,0.06292536514491087,-0.1175668387964739,1.0416666666666665,0.9323239275063089,0.053752535496957465,0.05658613320669592,4.0,4.0,4.0,4.0
9,36005002800,0.9490629461689983,0.9688831578845903,0.9756497684320536,36060,423,38448,586,55922,849,2233,2210,2088,0.14076539101497504,0.182896379525593,0.18218232538178178,0.020883980135984137,0.38534278959810875,0.06622296173044928,-0.010300044782803441,0.2992993391829952,0.00698392834305972,0.44880546075085315,0.4544839783603829,-0.05520361990950229,-0.0039041458647972593,3.0,3.0,3.0,3.0
10,36005003100,0.7158059022418829,0.7816333639410946,0.8867576399227993,16750,339,28365,616,38398,892,219,493,431,0.24286567164179104,0.2606028556319408,0.2787645189853638,0.0919627255000861,0.817109144542773,0.6934328358208954,1.2511415525114153,0.07303289868117213,0.13449307671777833,0.44805194805194803,0.3537105587872378,-0.12576064908722107,0.06969096063580138,4.0,4.0,4.0,4.0
11,36005003300,0.4678799399552151,0.5904671064096622,0.6163999589285826,8723,268,11420,277,17034,453,915,847,977,0.3686804998280408,0.2910683012259194,0.31912645297640013,0.26200560439966925,0.033582089552238736,0.3091826206580306,-0.07431693989071042,-0.21051343544972168,0.0439192162229074,0.6353790613718411,0.4915936952714537,0.15348288075560812,0.09639713988883569,4.0,4.0,4.0,4.0
12,36005003500,0.7400634909569079,0.8087606024353767,0.7157806314585164,16042,318,20122,417,27682,658,1027,1066,1227,0.23787557661139508,0.2486830334956764,0.28523950581605373,0.09282597009297522,0.3113207547169812,0.2543323775090387,0.03797468354430378,0.04543323462726434,-0.11496599945258801,0.5779376498800959,0.3757081801013815,0.1510318949343339,0.14700026699253255,4.0,4.0,4.0,4.0
